 
****************************************
Report : power
        -cell
        -analysis_effort low
        -verbose
        -sort_mode cell_internal_power
Design : cv32e40p_controller_COREV_CLUSTER
Version: T-2022.03-SP3
Date   : Sun Jun  1 19:52:43 2025
****************************************


Library(s) Used:

    saed32rvt_tt0p78v25c (File: /usr/local/synopsys/pdk/SAED32_EDK/lib/stdcell_rvt/db_ccs/saed32rvt_tt0p78v25c.db)


Operating Conditions: tt0p78v25c   Library: saed32rvt_tt0p78v25c
Wire Load Model Mode: enclosed

Design        Wire Load Model            Library
------------------------------------------------
cv32e40p_controller_COREV_CLUSTER
                       8000              saed32rvt_tt0p78v25c


Global Operating Voltage = 0.78 
Power-specific unit information :
    Voltage Units = 1V
    Capacitance Units = 1.000000ff
    Time Units = 1ns
    Dynamic Power Units = 1uW    (derived from V,C,T units)
    Leakage Power Units = 1pW



  Attributes
  ----------
      h  -  Hierarchical cell

                        Cell      Driven Net  Tot Dynamic      Cell
                        Internal  Switching   Power            Leakage
Cell                    Power     Power       (% Cell/Tot)     Power      Attrs
--------------------------------------------------------------------------------
B_30                       0.0000    0.0278   2.78e-02 (0%)    72706.7188  
B_46                       0.0000    0.0674   6.74e-02 (0%)    72706.7188  
B_53                       0.0000 1.330e-03   1.33e-03 (0%)    72706.7188  
B_54                       0.0000    0.0474   4.74e-02 (0%)    72706.7188  
B_58                       0.0000    0.0152   1.52e-02 (0%)    72706.7188  
B_59                       0.0000 2.953e-03   2.95e-03 (0%)    72706.7188  
C52                        0.0000 5.057e-03   5.06e-03 (0%)    56926.7109  
C53                        0.0000 9.721e-03   9.72e-03 (0%)    56926.7109  
C54                        0.0000    0.0325   3.25e-02 (0%)    56926.7109  
C57                        0.0000    0.0113   1.13e-02 (0%)    58360.9609  
C62                        0.0000 5.288e-03   5.29e-03 (0%)    58360.9609  
C67                        0.0000 5.288e-03   5.29e-03 (0%)    58360.9609  
C72                        0.0000    0.0126   1.26e-02 (0%)    58360.9609  
C73                        0.0000    0.0123   1.23e-02 (0%)    58360.9609  
C78                        0.0000    0.0129   1.29e-02 (0%)    58360.9609  
C79                        0.0000    0.0125   1.25e-02 (0%)    58360.9609  
C82                        0.0000 3.328e-03   3.33e-03 (0%)    56926.7109  
C83                        0.0000 6.793e-04   6.79e-04 (0%)    56926.7109  
C84                        0.0000 1.678e-03   1.68e-03 (0%)    56926.7109  
C86                        0.0000 8.904e-03   8.90e-03 (0%)    58360.9609  
C87                        0.0000    0.0123   1.23e-02 (0%)    58360.9609  
C92                        0.0000 9.059e-03   9.06e-03 (0%)    58360.9609  
C99                        0.0000 1.190e-05   1.19e-05 (0%)    58360.9609  
C105                       0.0000 3.429e-03   3.43e-03 (0%)    58360.9609  
C106                       0.0000 1.171e-05   1.17e-05 (0%)    58360.9609  
C112                       0.0000 9.059e-03   9.06e-03 (0%)    58360.9609  
C118                       0.0000 3.429e-03   3.43e-03 (0%)    58360.9609  
C125                       0.0000 3.429e-03   3.43e-03 (0%)    58360.9609  
C126                       0.0000    0.0125   1.25e-02 (0%)    58360.9609  
C130                       0.0000    0.0123   1.23e-02 (0%)    56926.7109  
C131                       0.0000    0.0000      0.000 (N/A)   56926.7109  
C1326                      0.0000 4.920e-03   4.92e-03 (0%)    58360.9609  
C1330                      0.0000 2.576e-03   2.58e-03 (0%)    58360.9609  
C1334                      0.0000 2.629e-03   2.63e-03 (0%)    58360.9609  
C1556                      0.0000    0.0171   1.71e-02 (0%)    58360.9609  
C1557                      0.0000    0.0174   1.74e-02 (0%)    58360.9609  
C1569                      0.0000    0.0154   1.54e-02 (0%)    56926.7109  
C1570                      0.0000 7.513e-03   7.51e-03 (0%)    56926.7109  
C1785                      0.0000    0.0622   6.22e-02 (0%)    58360.9609  
C1786                      0.0000    0.0563   5.63e-02 (0%)    58360.9609  
C1787                      0.0000 5.920e-03   5.92e-03 (0%)    56926.7109  
C1788                      0.0000 6.799e-03   6.80e-03 (0%)    56926.7109  
C1874                      0.0000 9.430e-03   9.43e-03 (0%)    58360.9609  
C1875                      0.0000 7.095e-03   7.09e-03 (0%)    58360.9609  
C1879                      0.0000    0.0203   2.03e-02 (0%)    56926.7109  
C1882                      0.0000    0.0164   1.64e-02 (0%)    56926.7109  
C1888                      0.0000    0.0118   1.18e-02 (0%)    58360.9609  
C1889                      0.0000 8.186e-03   8.19e-03 (0%)    58360.9609  
C1894                      0.0000    0.0133   1.33e-02 (0%)    58360.9609  
C1895                      0.0000    0.0134   1.34e-02 (0%)    58360.9609  
C1896                      0.0000 8.587e-03   8.59e-03 (0%)    58360.9609  
C1897                      0.0000 5.391e-03   5.39e-03 (0%)    58360.9609  
C1898                      0.0000 9.776e-04   9.78e-04 (0%)    58360.9609  
C1899                      0.0000 5.712e-04   5.71e-04 (0%)    58360.9609  
C1902                      0.0000    0.0144   1.44e-02 (0%)    56926.7109  
C1909                      0.0000    0.0115   1.15e-02 (0%)    58360.9609  
C1936                      0.0000 9.410e-03   9.41e-03 (0%)    58360.9609  
C1937                      0.0000    0.0119   1.19e-02 (0%)    56926.7109  
C1939                      0.0000 8.186e-03   8.19e-03 (0%)    58360.9609  
C1944                      0.0000 9.102e-03   9.10e-03 (0%)    58360.9609  
C1945                      0.0000 3.574e-03   3.57e-03 (0%)    58360.9609  
C1946                      0.0000 2.192e-03   2.19e-03 (0%)    58360.9609  
C1963                      0.0000    0.0199   1.99e-02 (0%)    58360.9609  
C1968                      0.0000    0.0113   1.13e-02 (0%)    58360.9609  
C1985                      0.0000 6.951e-03   6.95e-03 (0%)    58360.9609  
C1986                      0.0000 4.437e-03   4.44e-03 (0%)    58360.9609  
C1987                      0.0000 2.757e-03   2.76e-03 (0%)    58360.9609  
C1988                      0.0000 1.743e-03   1.74e-03 (0%)    58360.9609  
C2023                      0.0000 9.531e-03   9.53e-03 (0%)    58360.9609  
C2051                      0.0000    0.0154   1.54e-02 (0%)    58360.9609  
C2052                      0.0000 7.948e-03   7.95e-03 (0%)    58360.9609  
C2053                      0.0000    0.0104   1.04e-02 (0%)    58360.9609  
C2054                      0.0000 8.251e-03   8.25e-03 (0%)    58360.9609  
C2055                      0.0000 8.658e-03   8.66e-03 (0%)    56926.7109  
C2064                      0.0000 5.586e-03   5.59e-03 (0%)    56926.7109  
C2065                      0.0000    0.0239   2.39e-02 (0%)    56926.7109  
C2066                      0.0000    0.0156   1.56e-02 (0%)    56926.7109  
C2069                      0.0000 5.626e-03   5.63e-03 (0%)    56926.7109  
C2070                      0.0000    0.0216   2.16e-02 (0%)    56926.7109  
C2071                      0.0000    0.0125   1.25e-02 (0%)    56926.7109  
C2073                      0.0000    0.0101   1.01e-02 (0%)    56926.7109  
C2075                      0.0000    0.0109   1.09e-02 (0%)    56926.7109  
C2076                      0.0000 9.226e-03   9.23e-03 (0%)    56926.7109  
C2077                      0.0000 6.280e-03   6.28e-03 (0%)    56926.7109  
C2078                      0.0000    0.0361   3.61e-02 (0%)    56926.7109  
C2079                      0.0000 8.992e-03   8.99e-03 (0%)    56926.7109  
C2080                      0.0000 1.212e-03   1.21e-03 (0%)    56926.7109  
C2084                      0.0000 9.954e-03   9.95e-03 (0%)    56926.7109  
C2085                      0.0000 1.059e-04   1.06e-04 (0%)    56926.7109  
C2086                      0.0000 8.990e-03   8.99e-03 (0%)    56926.7109  
C2087                      0.0000    0.0176   1.76e-02 (0%)    56926.7109  
C2094                      0.0000    0.0117   1.17e-02 (0%)    58360.9609  
C2095                      0.0000 8.398e-03   8.40e-03 (0%)    56926.7109  
C2096                      0.0000 9.445e-03   9.44e-03 (0%)    56926.7109  
C2098                      0.0000 5.759e-03   5.76e-03 (0%)    58360.9609  
C2099                      0.0000 8.059e-03   8.06e-03 (0%)    58360.9609  
C2101                      0.0000 2.990e-04   2.99e-04 (0%)    56926.7109  
C2107                      0.0000    0.0121   1.21e-02 (0%)    58360.9609  
C2108                      0.0000    0.0120   1.20e-02 (0%)    58360.9609  
C2109                      0.0000 8.468e-03   8.47e-03 (0%)    56926.7109  
C2110                      0.0000 9.085e-03   9.08e-03 (0%)    56926.7109  
C2111                      0.0000 9.363e-03   9.36e-03 (0%)    56926.7109  
C2114                      0.0000 7.912e-05   7.91e-05 (0%)    58360.9609  
C2115                      0.0000 9.383e-03   9.38e-03 (0%)    56926.7109  
C2140                      0.0000 7.899e-03   7.90e-03 (0%)    56926.7109  
C2141                      0.0000 6.656e-05   6.66e-05 (0%)    56926.7109  
C2144                      0.0000 7.826e-03   7.83e-03 (0%)    58360.9609  
C2146                      0.0000 5.760e-05   5.76e-05 (0%)    58360.9609  
C2147                      0.0000 8.427e-03   8.43e-03 (0%)    58360.9609  
C2148                      0.0000 3.338e-03   3.34e-03 (0%)    58360.9609  
C2149                      0.0000 6.572e-03   6.57e-03 (0%)    58360.9609  
C2150                      0.0000 7.300e-03   7.30e-03 (0%)    58360.9609  
C2151                      0.0000 7.709e-03   7.71e-03 (0%)    58360.9609  
C2152                      0.0000 6.579e-03   6.58e-03 (0%)    56926.7109  
C2160                      0.0000 2.033e-03   2.03e-03 (0%)    56926.7109  
C2170                      0.0000 3.025e-03   3.03e-03 (0%)    58360.9609  
C2187                      0.0000 3.424e-03   3.42e-03 (0%)    56926.7109  
C2188                      0.0000 5.723e-03   5.72e-03 (0%)    58360.9609  
C2190                      0.0000 5.723e-03   5.72e-03 (0%)    58360.9609  
C2192                      0.0000 3.774e-05   3.77e-05 (0%)    56926.7109  
C2193                      0.0000 4.683e-05   4.68e-05 (0%)    56926.7109  
C2194                      0.0000 5.723e-03   5.72e-03 (0%)    58360.9609  
C2195                      0.0000 5.854e-06   5.85e-06 (0%)    56926.7109  
C2196                      0.0000 5.723e-03   5.72e-03 (0%)    58360.9609  
C2198                      0.0000 5.469e-03   5.47e-03 (0%)    58360.9609  
C2200                      0.0000    0.0123   1.23e-02 (0%)    58360.9609  
C2202                      0.0000    0.0121   1.21e-02 (0%)    58360.9609  
C2204                      0.0000    0.0121   1.21e-02 (0%)    58360.9609  
C2206                      0.0000    0.0131   1.31e-02 (0%)    56926.7109  
